,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,port alfred,za,21.74,94,24,3.37,-33.59,26.89
1,kholmy,ua,-4.74,89,92,5.27,51.87,32.6
2,anjar,in,21.79,25,0,3.92,23.11,70.03
3,busselton,au,22.52,92,8,3.17,-33.64,115.35
4,albany,au,31.99,34,0,4.42,-35.02,117.88
5,taksimo,ru,-17.84,39,0,1.32,56.36,114.84
6,luderitz,na,17,88,8,2.6,-26.65,15.16
7,kieta,pg,29.02,95,12,1.27,-6.22,155.63
8,atuona,pf,26.52,100,48,5.92,-9.8,-139.03
9,harrison,us,4.8,88,90,2.12,39.26,-84.82
10,thompson,ca,-8,61,40,2.6,55.74,-97.86
11,barrow,us,0.09,92,90,4.1,39.51,-90.4
12,ponta do sol,cv,20.74,100,0,6.67,17.2,-25.09
13,zhongshu,cn,20.39,42,0,5.37,24.52,103.77
14,youkounkoun,gn,22.62,69,0,2.77,12.53,-13.12
15,puerto ayora,ec,26.17,99,24,2.87,-0.74,-90.35
16,kavaratti,in,29.02,99,0,2.97,10.57,72.64
17,punta arenas,cl,9,93,75,1.5,-53.16,-70.91
18,aksarka,ru,-7.96,86,92,7.87,66.56,67.8
19,hilo,us,19,78,90,4.1,19.71,-155.08
20,jinsha,cn,17,67,90,3,24.49,118.41
21,berezayka,ru,-13.19,87,92,5.07,57.99,33.91
22,butaritari,ki,28.17,100,76,5.02,3.07,172.79
23,nanortalik,gl,-5.86,100,80,4.27,60.14,-45.24
24,arraial do cabo,br,24,94,20,2.62,-22.97,-42.02
25,upernavik,gl,-14.79,100,76,3.22,72.79,-56.15
26,ushuaia,ar,10,46,75,6.7,-54.81,-68.31
27,nuevitas,cu,20,68,20,3.1,21.55,-77.27
28,rikitea,pf,26.29,100,44,6.47,-23.12,-134.97
29,custoias,pt,0.97,93,24,1.97,41.11,-7.32
30,danshui,cn,21.29,82,20,5.72,22.81,114.46
31,kapaa,us,23.55,64,90,7.7,22.08,-159.32
32,guanare,ve,24.62,81,100,4.77,9.04,-69.74
33,east london,za,22.97,100,92,9.42,-33.02,27.91
34,bambous virieux,mu,26,83,40,5.1,-20.34,57.76
35,tuktoyaktuk,ca,-13.57,84,75,4.1,69.44,-133.03
36,port elizabeth,za,21,94,90,2.6,-33.92,25.57
37,chuy,uy,18.67,85,68,6.07,-33.69,-53.46
38,faanui,pf,27.74,100,48,3.07,-16.48,-151.75
39,esperance,au,27.67,46,0,5.92,-33.86,121.89
40,qaanaaq,gl,-22.69,97,36,2.02,77.48,-69.36
41,rawson,ar,18.99,39,0,5.27,-43.3,-65.11
42,yellowknife,ca,-11,85,75,3.1,62.45,-114.38
43,oktyabrskiy,ru,-10.65,66,0,6,55.61,37.97
44,kondinskoye,ru,-7.44,82,76,6.62,59.65,67.41
45,fort nelson,ca,-5,35,20,1.5,58.81,-122.69
46,hobyo,so,24.67,87,0,7.42,5.35,48.53
47,hobart,au,19,63,20,4.1,-42.88,147.33
48,turukhansk,ru,-10.54,77,92,9.52,65.8,87.96
49,baruun-urt,mn,-10.44,80,0,3.52,46.68,113.28
50,pampa,us,5.85,21,1,4.6,35.54,-100.96
51,victoria,sc,27,83,40,2.1,-4.62,55.45
52,ahipara,nz,18.52,100,88,5.22,-35.17,173.16
53,aracuai,br,22.79,89,76,1.27,-16.85,-42.07
54,vaini,to,31,66,40,2.1,-21.2,-175.2
55,talnakh,ru,-26.21,89,68,1.22,69.49,88.39
56,hervey bay,au,27.72,86,0,8.77,-25.3,152.85
57,sisimiut,gl,-19.39,73,44,1.07,66.94,-53.67
58,ostrovnoy,ru,-12.36,88,68,4.87,68.05,39.51
59,mar del plata,ar,23.49,43,0,7.72,-46.43,-67.52
60,bredasdorp,za,20,88,56,0.5,-34.53,20.04
61,samarai,pg,29.39,100,44,5.82,-10.62,150.67
62,chake chake,tz,26.64,100,68,5.82,-5.25,39.77
63,westport,nz,20.32,68,20,1.07,-41.75,171.6
64,kalaleh,ir,7.67,97,92,1.57,37.38,55.49
65,klaksvik,fo,-3,86,8,2.6,62.23,-6.59
66,ribeira grande,pt,16.57,100,92,12.67,38.52,-28.7
67,kargasok,ru,-0.69,85,92,4.47,59.06,80.87
68,puerto cabezas,ni,24.52,99,0,3.92,14.04,-83.39
69,gemena,cd,20.67,95,48,0.92,3.25,19.78
70,norman wells,ca,-15,77,20,2.1,65.28,-126.83
71,ancud,cl,15.62,89,8,2.12,-41.87,-73.83
72,ko samui,th,31,66,20,3.6,9.54,99.94
73,winnemucca,us,6,41,1,2.1,40.97,-117.74
74,broken hill,au,30.04,31,0,7.82,-31.97,141.45
75,beringovskiy,ru,-0.84,100,80,1.17,63.05,179.32
76,san patricio,mx,25,73,40,3.1,19.22,-104.7
77,kattivakkam,in,25,88,20,1,13.22,80.32
78,ostersund,se,-9,92,88,6.7,63.18,14.64
79,terny,ua,-7.01,88,80,5.22,50.99,33.98
80,batagay-alyta,ru,-25.21,76,44,1.72,67.8,130.41
81,vestmannaeyjar,is,-2.46,100,0,5.92,63.44,-20.27
82,narsaq,gl,-5,41,76,5.7,60.91,-46.05
83,mahebourg,mu,26,83,40,5.1,-20.41,57.7
84,vila franca do campo,pt,17,93,75,10.3,37.72,-25.43
85,avarua,ck,29,66,75,4.1,-21.21,-159.78
86,limbang,my,29.43,74,75,4.6,4.75,115
87,sao filipe,cv,21.07,100,0,6.87,14.9,-24.5
88,lavrentiya,ru,-3.79,100,80,10.87,65.58,-170.99
89,khatanga,ru,-33.74,47,8,2.37,71.98,102.47
90,cape town,za,18,88,0,6.2,-33.93,18.42
91,roura,gf,27,83,75,3.6,4.73,-52.33
92,georgetown,sh,25.17,100,100,2.87,-7.93,-14.42
93,jamestown,sh,22.87,100,88,2.87,-15.94,-5.72
94,priyutovo,ru,-14.11,77,48,5.37,53.89,53.93
95,manokwari,id,27.52,100,44,4.87,-0.87,134.08
96,haines junction,ca,-16.61,78,68,0.92,60.75,-137.51
